job title,company name,location,skills,links
JavaScript Team Leader,Nagwa,"Nasr City, Cairo, Egypt ",Full timeManager · 4+ Yrs of Exp · Information Technology (IT) · Computer Science · Software Development · javaScript · CSS · HTML · Engineering · XML · Python · JSON,https://wuzzuf.net/jobs/p/Fejg0TLn4udl-JavaScript-Team-Leader-Nagwa-Cairo-Egypt?o=30&l=sp&t=sj&a=python|search-v3|navbl
Senior Data Analyst,Nana,"Sheraton, Cairo, Egypt ",Full timeExperienced · 3 - 5 Yrs of Exp · Data Analysis · SQL · Tableau · BI · Power BI · Python · MYSQL · Data science · Data Manipulation · Data Visualization,https://wuzzuf.net/jobs/p/1AUith8WXZ0C-Senior-Data-Analyst-Nana-Cairo-Egypt?o=31&l=sp&t=sj&a=python|search-v3|navbl
Computer Vision & Deep Learning Developer,Fruitful Solutions,"New Nozha, Cairo, Egypt ",Full timeWork from homeExperienced · 3+ Yrs of Exp · Machine Learning · Computer Engineering · C++ · Engineering · Linux · Computer Vision · Deep Learning · Python · Computer Science · Information Technology (IT),https://wuzzuf.net/jobs/p/4l5ZyPAUKO4C-Computer-Vision-Deep-Learning-Developer-Fruitful-Solutions-Cairo-Egypt?o=32&l=sp&t=sj&a=python|search-v3|navbl
DevOps Engineer / Site Reliability Engineer - Jumia Pay,Jumia,"Cairo, Egypt ",Full timeEntry Level · 1+ Yrs of Exp · Computer Science · Engineering · IT Information Technology · Site Reliability · Linux · DevOps · AWS · Python · Docker · CI/CD,https://wuzzuf.net/jobs/p/zdJdcONz3H5d-DevOps-Engineer-Site-Reliability-Engineer---Jumia-Pay-Jumia-Cairo-Egypt?o=33&l=sp&t=sj&a=python|search-v3|navbl
Senior Backend Engineer,TEMPO,"New Cairo, Cairo, Egypt ",Full timeExperienced · 5+ Yrs of Exp · Information Technology (IT) · Software Engineering · Software Development · Computer Science · Back-End · Programming · Git · SQL · Jenkins · Agile,https://wuzzuf.net/jobs/p/hodoLSAzrVbS-Senior-Backend-Engineer-TEMPO-Cairo-Egypt?o=34&l=sp&t=sj&a=python|search-v3|navbl
Senior Embedded Linux Developer,El-Sewedy Electrometer,"6th of October, Giza, Egypt ",Full timeExperienced · 3 - 5 Yrs of Exp · Linux · Embedded Software · Software Development · Python · C++ · Information Technology (IT) · Computer Science · SQL · Programming · Electronics,https://wuzzuf.net/jobs/p/x00h4gjYjLWH-Senior-Embedded-Linux-Developer-El-Sewedy-Electrometer-Giza-Egypt?o=35&l=sp&t=sj&a=python|search-v3|navbl
ODOO Technical Support Engineer \ Development Specialist,ALMuazae,"New Cairo, Cairo, Egypt ",Full timeEntry Level · 1 - 3 Yrs of Exp · Information Technology (IT) · Computer Science · Software · Technical Support · Engineering · javaScript · CRM · Odoo · Bash · Python,https://wuzzuf.net/jobs/p/krhf1E2t4fj3-ODOO-Technical-Support-Engineer-Development-Specialist-ALMuazae-Cairo-Egypt?o=36&l=sp&t=sj&a=python|search-v3|navbl
Senior Linux System Engineer,Link Datacenter,"Dokki, Giza, Egypt ",Full timeExperienced · 3 - 5 Yrs of Exp · Engineering · Communication Engineering · Information Technology (IT) · Computer Science · Installation · Maintenance · Solaris · CentOS · RedHat · NGINX,https://wuzzuf.net/jobs/p/jLP52T04Wnxq-Senior-Linux-System-Engineer-Link-Datacenter-Giza-Egypt?o=37&l=sp&t=sj&a=python|search-v3|navbl
Senior Front End Developer - React,Trufla,"Heliopolis, Cairo, Egypt ",Full timeExperienced · 3+ Yrs of Exp · JavaScript · Front-End · Software Development · Web Development · Computer Science · JQuery · Angular · HTML · CSS · Python,https://wuzzuf.net/jobs/p/olSifCz4yD7b-Senior-Front-End-Developer---React-Trufla-Cairo-Egypt?o=38&l=sp&t=sj&a=python|search-v3|navbl
Backend Developer - Django,Confidential -,"Heliopolis, Cairo, Egypt ",Full timeExperienced · 3+ Yrs of Exp · Django · Python · AWS · API · DRF · Computer Science · Information Technology (IT) · Git · Development · REST,https://wuzzuf.net/jobs/p/QYSKg2K9cGHJ-Backend-Developer---Django-Cairo-Egypt?o=39&l=sp&t=sj&a=python|search-v3|navbl
